"Step","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","neutral_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","resistant_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","receptive_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX"
"64","-761158.3098683242","-761158.3098683242","-761158.3098683242","-1234684.9094364122","-1234684.9094364122","-1234684.9094364122","-1632723.860129699","-1632723.860129699","-1632723.860129699","-605253.7551241533","-605253.7551241533","-605253.7551241533"
"65","-760985.0634550764","-760985.0634550764","-760985.0634550764","-1232108.861094912","-1232108.861094912","-1232108.861094912","-1632135.772112341","-1632135.772112341","-1632135.772112341","-604352.4680548364","-604352.4680548364","-604352.4680548364"
"66","-761004.8259703874","-761004.8259703874","-761004.8259703874","-1229115.823237462","-1229115.823237462","-1229115.823237462","-1632032.5917164895","-1632032.5917164895","-1632032.5917164895","-603425.1912391054","-603425.1912391054","-603425.1912391054"
"67","-760679.5829435141","-760679.5829435141","-760679.5829435141","-1226385.9013003916","-1226385.9013003916","-1226385.9013003916","-1631632.8341387908","-1631632.8341387908","-1631632.8341387908","-602102.1490231523","-602102.1490231523","-602102.1490231523"
"68","-760773.4926975735","-760773.4926975735","-760773.4926975735","-1223488.7647777274","-1223488.7647777274","-1223488.7647777274","-1630409.315136118","-1630409.315136118","-1630409.315136118","-602154.423375916","-602154.423375916","-602154.423375916"
"69","-760508.5028206758","-760508.5028206758","-760508.5028206758","-1221566.54808487","-1221566.54808487","-1221566.54808487","-1629511.195345265","-1629511.195345265","-1629511.195345265","-601515.3033126334","-601515.3033126334","-601515.3033126334"
"70","-760450.4521388629","-760450.4521388629","-760450.4521388629","-1219755.5440865748","-1219755.5440865748","-1219755.5440865748","-1628913.5750170362","-1628913.5750170362","-1628913.5750170362","-601107.077785252","-601107.077785252","-601107.077785252"
"71","-759790.9357015966","-759790.9357015966","-759790.9357015966","-1218294.6357638158","-1218294.6357638158","-1218294.6357638158","-1629174.7883364833","-1629174.7883364833","-1629174.7883364833","-600459.5461843405","-600459.5461843405","-600459.5461843405"
"72","-759297.1348592074","-759297.1348592074","-759297.1348592074","-1216563.4243001898","-1216563.4243001898","-1216563.4243001898","-1628796.2171349311","-1628796.2171349311","-1628796.2171349311","-599492.3932514614","-599492.3932514614","-599492.3932514614"
"73","-759495.2971250856","-759495.2971250856","-759495.2971250856","-1214975.6743536266","-1214975.6743536266","-1214975.6743536266","-1628551.8369191345","-1628551.8369191345","-1628551.8369191345","-598917.0419602959","-598917.0419602959","-598917.0419602959"
