"Step","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_100_100_1000_RUN - episode_reward_mean__MAX","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_200_200_2000_RUN - episode_reward_mean__MAX","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_PPO_*100_*100_*1000_RUN - episode_reward_mean__MAX","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MIN","prudent_train_env_t05_d07_A2C_*100_*100_*1000_RUN - episode_reward_mean__MAX"
"66","-1229318.2642875798","-1229318.2642875798","-1229318.2642875798","-1312505.098866333","-1312505.098866333","-1312505.098866333","-944805.7117303361","-944805.7117303361","-944805.7117303361","-761004.8259703874","-761004.8259703874","-761004.8259703874"
"67","-1226687.4433782245","-1226687.4433782245","-1226687.4433782245","-1311066.0157564196","-1311066.0157564196","-1311066.0157564196","-943417.6197228682","-943417.6197228682","-943417.6197228682","-760679.5829435141","-760679.5829435141","-760679.5829435141"
"68","-1224153.89356572","-1224153.89356572","-1224153.89356572","-1309281.4763449656","-1309281.4763449656","-1309281.4763449656","-943768.3292966515","-943768.3292966515","-943768.3292966515","-760773.4926975735","-760773.4926975735","-760773.4926975735"
"69","-1221485.8393904741","-1221485.8393904741","-1221485.8393904741","-1307292.6833924055","-1307292.6833924055","-1307292.6833924055","-943304.9761629748","-943304.9761629748","-943304.9761629748","-760508.5028206758","-760508.5028206758","-760508.5028206758"
"70","-1219357.8396863514","-1219357.8396863514","-1219357.8396863514","-1306128.2909925187","-1306128.2909925187","-1306128.2909925187","-943304.855049137","-943304.855049137","-943304.855049137","-760450.4521388629","-760450.4521388629","-760450.4521388629"
"71","-1216485.9437241296","-1216485.9437241296","-1216485.9437241296","-1304161.7179927037","-1304161.7179927037","-1304161.7179927037","-943796.1193787801","-943796.1193787801","-943796.1193787801","-759790.9357015966","-759790.9357015966","-759790.9357015966"
"72","-1213963.5857492783","-1213963.5857492783","-1213963.5857492783","-1301934.019417506","-1301934.019417506","-1301934.019417506","-944484.3589096481","-944484.3589096481","-944484.3589096481","-759297.1348592074","-759297.1348592074","-759297.1348592074"
"73","-1212039.1802298757","-1212039.1802298757","-1212039.1802298757","-1301179.0967410293","-1301179.0967410293","-1301179.0967410293","-944745.8624186417","-944745.8624186417","-944745.8624186417","-759495.2971250856","-759495.2971250856","-759495.2971250856"
"74","-1210185.9455976337","-1210185.9455976337","-1210185.9455976337","-1299488.6982924703","-1299488.6982924703","-1299488.6982924703","-944525.0784067045","-944525.0784067045","-944525.0784067045","-759207.9902573301","-759207.9902573301","-759207.9902573301"
"75","-1208408.482167445","-1208408.482167445","-1208408.482167445","-1297898.7140060298","-1297898.7140060298","-1297898.7140060298","-944974.7591000919","-944974.7591000919","-944974.7591000919","-759257.7820599594","-759257.7820599594","-759257.7820599594"
"76","-1206898.2744706688","-1206898.2744706688","-1206898.2744706688","-1297143.724250497","-1297143.724250497","-1297143.724250497","-944567.185381203","-944567.185381203","-944567.185381203","-759389.5204258326","-759389.5204258326","-759389.5204258326"
"77","-1206043.5603504458","-1206043.5603504458","-1206043.5603504458","-1297040.4940491102","-1297040.4940491102","-1297040.4940491102","-944486.2675547411","-944486.2675547411","-944486.2675547411","-759966.0772053672","-759966.0772053672","-759966.0772053672"
"78","-1204752.4881350554","-1204752.4881350554","-1204752.4881350554","-1295915.021487836","-1295915.021487836","-1295915.021487836","-943844.2346740097","-943844.2346740097","-943844.2346740097","-759972.7221141147","-759972.7221141147","-759972.7221141147"
"79","-1203220.322001155","-1203220.322001155","-1203220.322001155","-1294159.0054519053","-1294159.0054519053","-1294159.0054519053","-943791.6073737281","-943791.6073737281","-943791.6073737281","-759993.2784927782","-759993.2784927782","-759993.2784927782"
"80","-1201612.9649586207","-1201612.9649586207","-1201612.9649586207","-1293564.3654398704","-1293564.3654398704","-1293564.3654398704","-943724.1292326384","-943724.1292326384","-943724.1292326384","-760297.8861831364","-760297.8861831364","-760297.8861831364"
"81","-1200084.1867791067","-1200084.1867791067","-1200084.1867791067","-1292423.1427084506","-1292423.1427084506","-1292423.1427084506","-943219.4918098382","-943219.4918098382","-943219.4918098382","-759871.7208180719","-759871.7208180719","-759871.7208180719"
"82","-1199248.4893610023","-1199248.4893610023","-1199248.4893610023","-1290720.7196461882","-1290720.7196461882","-1290720.7196461882","-942592.5162737456","-942592.5162737456","-942592.5162737456","-759660.8967196784","-759660.8967196784","-759660.8967196784"
"83","-1197577.1389519642","-1197577.1389519642","-1197577.1389519642","-1290122.5940405582","-1290122.5940405582","-1290122.5940405582","-943394.4008567656","-943394.4008567656","-943394.4008567656","-760061.8831611882","-760061.8831611882","-760061.8831611882"
"84","-1196425.705076902","-1196425.705076902","-1196425.705076902","-1289486.2089873247","-1289486.2089873247","-1289486.2089873247","-943599.036419352","-943599.036419352","-943599.036419352","-760262.1280608096","-760262.1280608096","-760262.1280608096"
"85","-1195559.4334580235","-1195559.4334580235","-1195559.4334580235","-1288492.93690354","-1288492.93690354","-1288492.93690354","-942834.5142399346","-942834.5142399346","-942834.5142399346","-760120.6948504013","-760120.6948504013","-760120.6948504013"
"86","-1193668.82739741","-1193668.82739741","-1193668.82739741","-1287302.2914808267","-1287302.2914808267","-1287302.2914808267","-942235.2846156065","-942235.2846156065","-942235.2846156065","-759774.552176643","-759774.552176643","-759774.552176643"
"87","-1192580.9642780148","-1192580.9642780148","-1192580.9642780148","-1286002.3304726577","-1286002.3304726577","-1286002.3304726577","-941843.127502926","-941843.127502926","-941843.127502926","-759565.9113145373","-759565.9113145373","-759565.9113145373"
"88","-1191597.279487693","-1191597.279487693","-1191597.279487693","-1284958.7315927339","-1284958.7315927339","-1284958.7315927339","-941677.8873722454","-941677.8873722454","-941677.8873722454","-759721.2607858682","-759721.2607858682","-759721.2607858682"
"89","-1190794.6335102548","-1190794.6335102548","-1190794.6335102548","-1284345.856544383","-1284345.856544383","-1284345.856544383","-941442.2305062441","-941442.2305062441","-941442.2305062441","-760218.299037251","-760218.299037251","-760218.299037251"
"90","-1189599.9784282309","-1189599.9784282309","-1189599.9784282309","-1283293.4261063084","-1283293.4261063084","-1283293.4261063084","-941316.458748384","-941316.458748384","-941316.458748384","-760401.5555622501","-760401.5555622501","-760401.5555622501"
"91","-1187763.8145130437","-1187763.8145130437","-1187763.8145130437","-1281906.19155407","-1281906.19155407","-1281906.19155407","-940942.2409463973","-940942.2409463973","-940942.2409463973","-760032.0035796585","-760032.0035796585","-760032.0035796585"
"92","-1186562.591187998","-1186562.591187998","-1186562.591187998","-1281071.6858765243","-1281071.6858765243","-1281071.6858765243","-940925.7206983784","-940925.7206983784","-940925.7206983784","-760018.1040710972","-760018.1040710972","-760018.1040710972"
"93","-1185322.0557843337","-1185322.0557843337","-1185322.0557843337","-1279803.0289644587","-1279803.0289644587","-1279803.0289644587","-940701.2829481178","-940701.2829481178","-940701.2829481178","-759997.8395485203","-759997.8395485203","-759997.8395485203"
"94","-1184471.559737352","-1184471.559737352","-1184471.559737352","-1278899.6378963937","-1278899.6378963937","-1278899.6378963937","-940362.2200852028","-940362.2200852028","-940362.2200852028","-760306.1386221272","-760306.1386221272","-760306.1386221272"
"95","-1183420.2876508697","-1183420.2876508697","-1183420.2876508697","-1277889.147216139","-1277889.147216139","-1277889.147216139","-940744.9919280023","-940744.9919280023","-940744.9919280023","-760251.6905481761","-760251.6905481761","-760251.6905481761"
"96","-1182584.565080743","-1182584.565080743","-1182584.565080743","-1277676.581235115","-1277676.581235115","-1277676.581235115","-940718.651320472","-940718.651320472","-940718.651320472","-760612.1220370925","-760612.1220370925","-760612.1220370925"
"97","-1181432.2512353298","-1181432.2512353298","-1181432.2512353298","-1276797.7348802665","-1276797.7348802665","-1276797.7348802665","-940358.8315892852","-940358.8315892852","-940358.8315892852","-760731.4965480741","-760731.4965480741","-760731.4965480741"
"98","-1180498.0927719688","-1180498.0927719688","-1180498.0927719688","-1275931.8816030829","-1275931.8816030829","-1275931.8816030829","-940659.3794361999","-940659.3794361999","-940659.3794361999","-760909.063389007","-760909.063389007","-760909.063389007"
"99","-1179885.1862861814","-1179885.1862861814","-1179885.1862861814","-1274849.0915963734","-1274849.0915963734","-1274849.0915963734","-940347.2527593129","-940347.2527593129","-940347.2527593129","-760712.5584857579","-760712.5584857579","-760712.5584857579"
"100","-1178713.4744095001","-1178713.4744095001","-1178713.4744095001","-1274728.4090785016","-1274728.4090785016","-1274728.4090785016","-940333.0120390075","-940333.0120390075","-940333.0120390075","-760709.3396640485","-760709.3396640485","-760709.3396640485"
"101","-1177807.6247992548","-1177807.6247992548","-1177807.6247992548","-1274000.6017313646","-1274000.6017313646","-1274000.6017313646","-940085.4743134886","-940085.4743134886","-940085.4743134886","-760816.1478802842","-760816.1478802842","-760816.1478802842"
